Node Number	X Location (m)	Y Location (m)	Z Location (m)	
168	3,0189e-002	-3,658e-005	2,e-002	
169	1,8894e-002	2,3418e-002	2,e-002	
170	-6,4864e-003	2,9211e-002	2,e-002	
171	-2,684e-002	1,298e-002	2,e-002	
172	-2,684e-002	-1,3053e-002	2,e-002	
173	-6,4864e-003	-2,9284e-002	2,e-002	
174	1,8894e-002	-2,3492e-002	2,e-002	
263	2,7218e-002	1,298e-002	2,e-002	
264	6,8648e-003	2,9211e-002	2,e-002	
265	-1,8516e-002	2,3418e-002	2,e-002	
266	-2,9811e-002	-3,658e-005	2,e-002	
267	-1,8516e-002	-2,3492e-002	2,e-002	
268	6,8648e-003	-2,9284e-002	2,e-002	
269	2,7218e-002	-1,3053e-002	2,e-002	
