Node Number	X Location (m)	Y Location (m)	Z Location (m)	
168	3,0189e-002	-3,658e-005	2,e-002	
169	1,8894e-002	2,3418e-002	2,e-002	
170	-6,4864e-003	2,9211e-002	2,e-002	
171	-2,684e-002	1,298e-002	2,e-002	
172	-2,684e-002	-1,3053e-002	2,e-002	
173	-6,4864e-003	-2,9284e-002	2,e-002	
174	1,8894e-002	-2,3492e-002	2,e-002	
175	4,0189e-002	-3,658e-005	2,e-002	
176	3,7488e-002	1,4413e-002	2,e-002	
177	2,975e-002	2,6911e-002	2,e-002	
178	1,8019e-002	3,577e-002	2,e-002	
179	3,8799e-003	3,9793e-002	2,e-002	
180	-1,0757e-002	3,8436e-002	2,e-002	
181	-2,3916e-002	3,1884e-002	2,e-002	
182	-3,3819e-002	2,1021e-002	2,e-002	
183	-3,913e-002	7,3134e-003	2,e-002	
184	-3,913e-002	-7,3866e-003	2,e-002	
185	-3,3819e-002	-2,1094e-002	2,e-002	
186	-2,3916e-002	-3,1957e-002	2,e-002	
187	-1,0757e-002	-3,851e-002	2,e-002	
188	3,8799e-003	-3,9866e-002	2,e-002	
189	1,8019e-002	-3,5843e-002	2,e-002	
190	2,975e-002	-2,6984e-002	2,e-002	
191	3,7488e-002	-1,4486e-002	2,e-002	
285	2,7218e-002	1,298e-002	2,e-002	
286	6,8648e-003	2,9211e-002	2,e-002	
287	-1,8516e-002	2,3418e-002	2,e-002	
288	-2,9811e-002	-3,658e-005	2,e-002	
289	-1,8516e-002	-2,3492e-002	2,e-002	
290	6,8648e-003	-2,9284e-002	2,e-002	
291	2,7218e-002	-1,3053e-002	2,e-002	
292	3,9508e-002	7,3134e-003	2,e-002	
293	3,4198e-002	2,1021e-002	2,e-002	
294	2,4295e-002	3,1884e-002	2,e-002	
295	1,1136e-002	3,8436e-002	2,e-002	
296	-3,5015e-003	3,9793e-002	2,e-002	
297	-1,764e-002	3,577e-002	2,e-002	
298	-2,9371e-002	2,6911e-002	2,e-002	
299	-3,711e-002	1,4413e-002	2,e-002	
300	-3,9811e-002	-3,658e-005	2,e-002	
301	-3,711e-002	-1,4486e-002	2,e-002	
302	-2,9371e-002	-2,6984e-002	2,e-002	
303	-1,764e-002	-3,5843e-002	2,e-002	
304	-3,5015e-003	-3,9866e-002	2,e-002	
305	1,1136e-002	-3,851e-002	2,e-002	
306	2,4295e-002	-3,1957e-002	2,e-002	
307	3,4198e-002	-2,1094e-002	2,e-002	
308	3,9508e-002	-7,3866e-003	2,e-002	
