Node Number	X Location (m)	Y Location (m)	Z Location (m)	
120	0,14799	-9,501e-002	0,	
121	0,14649	-9,2412e-002	0,	
122	0,14349	-9,2412e-002	0,	
123	0,14199	-9,501e-002	0,	
124	0,14349	-9,7608e-002	0,	
125	0,14649	-9,7608e-002	0,	
132	-0,14101	9,499e-002	0,	
133	-0,14301	9,8454e-002	0,	
134	-0,14701	9,8454e-002	0,	
135	-0,14901	9,499e-002	0,	
136	-0,14701	9,1526e-002	0,	
137	-0,14301	9,1526e-002	0,	
138	0,14899	9,499e-002	0,	
139	0,14699	9,8454e-002	0,	
140	0,14299	9,8454e-002	0,	
141	0,14099	9,499e-002	0,	
142	0,14299	9,1526e-002	0,	
143	0,14699	9,1526e-002	0,	
150	-0,14099	-9,5026e-002	0,	
151	-0,14299	-9,1562e-002	0,	
152	-0,14699	-9,1562e-002	0,	
153	-0,14899	-9,5026e-002	0,	
154	-0,14699	-9,849e-002	0,	
155	-0,14299	-9,849e-002	0,	
276	-0,14501	9,899e-002	0,	
277	-0,14847	9,699e-002	0,	
278	-0,14847	9,299e-002	0,	
279	0,14846	9,699e-002	0,	
280	0,14499	9,899e-002	0,	
281	0,14846	9,299e-002	0,	
282	-0,14845	-9,3026e-002	0,	
283	-0,14845	-9,7026e-002	0,	
284	-0,14499	-9,9026e-002	0,	
